Ativo,Ativo Circulante,Cart. de Crédito,Depósitos,Disponibilidades,Dív. Bruta,Dív. Líquida,Patrim. Líq,ticker
2469870000.0,465364000.0,,,97428000.0,642308000.0,544880000.0,1287910000.0,AALR3
36253300000.0,,13280500000.0,5693870000.0,,,,4040730000.0,ABCB4
101743000000.0,27621100000.0,,,11915200000.0,3062800000.0,-8852420000.0,61278000000.0,ABEV3
242000.0,23000.0,,,0.0,0.0,0.0,-19776000.0,ADHM3
225655000.0,75356000.0,,,51746000.0,1248000.0,-50498000.0,214346000.0,AFLT3
1515090000.0,479155000.0,,,93538000.0,458309000.0,364771000.0,942966000.0,AGRO3
247070000.0,21818000.0,,,7913000.0,0.0,-7913000.0,16266000.0,AHEB3
247070000.0,21818000.0,,,7913000.0,0.0,-7913000.0,16266000.0,AHEB5
4522040000.0,2610130000.0,,,566263000.0,278750000.0,-287513000.0,2642930000.0,ALPA3
4522040000.0,2610130000.0,,,566263000.0,278750000.0,-287513000.0,2642930000.0,ALPA4
10177800000.0,973650000.0,,,676545000.0,0.0,-676545000.0,5206140000.0,ALSO3
16422600000.0,4396860000.0,,,2916990000.0,6527570000.0,3610570000.0,5064230000.0,ALUP11
16422600000.0,4396860000.0,,,2916990000.0,6527570000.0,3610570000.0,5064230000.0,ALUP3
16422600000.0,4396860000.0,,,2916990000.0,6527570000.0,3610570000.0,5064230000.0,ALUP4
3489170000.0,1929020000.0,,,170608000.0,1616580000.0,1445970000.0,840223000.0,AMAR3
2160950000.0,369730000.0,,,107899000.0,1006200000.0,898304000.0,683761000.0,ANIM3
163739000.0,30622000.0,,,12154000.0,0.0,-12154000.0,97083000.0,APER3
1391640000.0,949191000.0,,,275344000.0,189092000.0,-86252000.0,710655000.0,ARZZ3
12698000.0,11555000.0,,,9409000.0,0.0,-9409000.0,4270000.0,ATOM3
54913000.0,20339000.0,,,11000.0,29816000.0,29805000.0,-220476000.0,AZEV3
54913000.0,20339000.0,,,11000.0,29816000.0,29805000.0,-220476000.0,AZEV4
18608700000.0,4055770000.0,,,1563140000.0,3395280000.0,1832140000.0,-644791000.0,AZUL4
40950900000.0,11509500000.0,,,10693500000.0,5976600000.0,-4716920000.0,25361800000.0,B3SA3
185035000.0,73812000.0,,,68328000.0,9680000.0,-58648000.0,53301000.0,BAHI3
194149000.0,117380000.0,,,13747000.0,29808000.0,16061000.0,102201000.0,BALM4
121104000.0,66841000.0,,,35377000.0,16000.0,-35361000.0,71747000.0,BAUH4
20601800000.0,,2978640000.0,4509350000.0,,,,2041970000.0,BAZA3
1538890000000.0,,519788000000.0,502952000000.0,,,,98896000000.0,BBAS3
1147030000000.0,,292730000000.0,394223000000.0,,,,133723000000.0,BBDC3
1147030000000.0,,292730000000.0,394223000000.0,,,,133723000000.0,BBDC4
432325000.0,116044000.0,,,79160000.0,112706000.0,33546000.0,187133000.0,BBRK3
0.0,0.0,,,0.0,0.0,0.0,0.0,BBSE3
833788000.0,269305000.0,,,537000.0,223451000.0,222914000.0,48681000.0,BDLL3
833788000.0,269305000.0,,,537000.0,223451000.0,222914000.0,48681000.0,BDLL4
13233700000.0,8269280000.0,,,4469690000.0,10477700000.0,6008040000.0,-281662000.0,BEEF3
23560600000.0,,3559370000.0,11698900000.0,,,,1608360000.0,BEES3
23560600000.0,,3559370000.0,11698900000.0,,,,1608360000.0,BEES4
5534270000.0,,2420370000.0,4521530000.0,,,,433857000.0,BGIP3
5534270000.0,,2420370000.0,4521530000.0,,,,433857000.0,BGIP4
10062400000.0,,3835810000.0,5010700000.0,,,,2201020000.0,BIDI11
10062400000.0,,3835810000.0,5010700000.0,,,,2201020000.0,BIDI3
10062400000.0,,3835810000.0,5010700000.0,,,,2201020000.0,BIDI4
282820000.0,77291000.0,,,53248000.0,155197000.0,101949000.0,65021000.0,BIOM3
3528060000.0,862378000.0,,,604093000.0,519870000.0,-84223000.0,1786630000.0,BKBR3
9853650000.0,,3967970000.0,6638220000.0,,,,887499000.0,BMEB3
9853650000.0,,3967970000.0,6638220000.0,,,,887499000.0,BMEB4
20609900000.0,,9842930000.0,12182200000.0,,,,4028280000.0,BMGB4
201630000.0,,47712000.0,60686000.0,,,,120283000.0,BMIN3
201630000.0,,47712000.0,60686000.0,,,,120283000.0,BMIN4
218892000.0,166005000.0,,,147979000.0,8533000.0,-139446000.0,188600000.0,BMKS3
58630800000.0,,9431110000.0,12249900000.0,,,,5427400000.0,BNBR3
593775000.0,245608000.0,,,14658000.0,302495000.0,287837000.0,-279734000.0,BOBR3
593775000.0,245608000.0,,,14658000.0,302495000.0,287837000.0,-279734000.0,BOBR4
176044000000.0,,22325200000.0,24511600000.0,,,,21332200000.0,BPAC11
176044000000.0,,22325200000.0,24511600000.0,,,,21332200000.0,BPAC3
176044000000.0,,22325200000.0,24511600000.0,,,,21332200000.0,BPAC5
33219800000.0,,20887600000.0,20356900000.0,,,,4926170000.0,BPAN4
10462700000.0,203244000.0,,,203087000.0,220146000.0,17059000.0,10204600000.0,BRAP3
10462700000.0,203244000.0,,,203087000.0,220146000.0,17059000.0,10204600000.0,BRAP4
26685000000.0,13345000000.0,,,3909000000.0,6220000000.0,2311000000.0,9602000000.0,BRDT3
43351500000.0,17013800000.0,,,6620470000.0,21077100000.0,14456700000.0,7149920000.0,BRFS3
3251910000.0,1999780000.0,,,1698090000.0,0.0,-1698090000.0,1181120000.0,BRGE11
3251910000.0,1999780000.0,,,1698090000.0,0.0,-1698090000.0,1181120000.0,BRGE12
3251910000.0,1999780000.0,,,1698090000.0,0.0,-1698090000.0,1181120000.0,BRGE3
3251910000.0,1999780000.0,,,1698090000.0,0.0,-1698090000.0,1181120000.0,BRGE5
3251910000.0,1999780000.0,,,1698090000.0,0.0,-1698090000.0,1181120000.0,BRGE6
3251910000.0,1999780000.0,,,1698090000.0,0.0,-1698090000.0,1181120000.0,BRGE8
13417100000.0,,2015860000.0,1900860000.0,,,,1478470000.0,BRIV3
13417100000.0,,2015860000.0,1900860000.0,,,,1478470000.0,BRIV4
65463800000.0,20500300000.0,,,7003180000.0,27957500000.0,20954300000.0,7263760000.0,BRKM3
65463800000.0,20500300000.0,,,7003180000.0,27957500000.0,20954300000.0,7263760000.0,BRKM5
65463800000.0,20500300000.0,,,7003180000.0,27957500000.0,20954300000.0,7263760000.0,BRKM6
18015300000.0,1026630000.0,,,735384000.0,2720600000.0,1985210000.0,10629400000.0,BRML3
9946280000.0,1502460000.0,,,1265430000.0,1800800000.0,535367000.0,7204070000.0,BRPR3
80994800000.0,,30468800000.0,53673000000.0,,,,7792370000.0,BRSR3
80994800000.0,,30468800000.0,53673000000.0,,,,7792370000.0,BRSR5
80994800000.0,,30468800000.0,53673000000.0,,,,7792370000.0,BRSR6
10269600000.0,3330090000.0,,,269429000.0,5906160000.0,5636730000.0,222826000.0,BSEV3
16589800000.0,,8589320000.0,12102200000.0,,,,1737330000.0,BSLI3
16056600000.0,9431730000.0,,,6483300000.0,6433340000.0,-49958400.0,5734430000.0,BTOW3
118565000.0,51242000.0,,,7309000.0,21886000.0,14577000.0,4832000.0,BTTL3
32643000.0,9885000.0,,,243000.0,0.0,-243000.0,9116000.0,CALI4
245815000.0,112959000.0,,,4906000.0,67474000.0,62568000.0,70840000.0,CAMB3
5390020000.0,3311400000.0,,,869047000.0,2233850000.0,1364800000.0,2258460000.0,CAML3
491019000.0,127208000.0,,,33227000.0,124172000.0,90945000.0,251518000.0,CARD3
10567800000.0,2610950000.0,,,409320000.0,3990600000.0,3581280000.0,3660980000.0,CBEE3
5311610000.0,1004570000.0,,,899209000.0,2004760000.0,1105550000.0,1904030000.0,CCPR3
31327800000.0,5475400000.0,,,3702120000.0,16955100000.0,13253000000.0,8742880000.0,CCRO3
10669000.0,10669000.0,,,409000.0,0.0,-409000.0,-52699000.0,CCXC3
5547550000.0,2195080000.0,,,188732000.0,1624830000.0,1436090000.0,1912020000.0,CEAB3
3550670000.0,1624870000.0,,,229391000.0,452680000.0,223289000.0,450980000.0,CEBR3
3550670000.0,1624870000.0,,,229391000.0,452680000.0,223289000.0,450980000.0,CEBR5
3550670000.0,1624870000.0,,,229391000.0,452680000.0,223289000.0,450980000.0,CEBR6
756471000.0,327415000.0,,,20314000.0,233362000.0,213048000.0,185246000.0,CEDO3
756471000.0,327415000.0,,,20314000.0,233362000.0,213048000.0,185246000.0,CEDO4
18945500000.0,4505950000.0,,,858579000.0,7715150000.0,6856570000.0,5219270000.0,CEEB3
3749730000.0,947620000.0,,,54306000.0,803564000.0,749258000.0,-3352110000.0,CEED3
3749730000.0,947620000.0,,,54306000.0,803564000.0,749258000.0,-3352110000.0,CEED4
3363010000.0,785871000.0,,,177182000.0,751638000.0,574456000.0,1267850000.0,CEGR3
7940900.0,2004000.0,,,267036.0,4666920.0,4399880.0,1629050.0,CEPE5
12929700000.0,1020620000.0,,,690276000.0,1791330000.0,1101060000.0,7144910000.0,CESP3
12929700000.0,1020620000.0,,,690276000.0,1791330000.0,1101060000.0,7144910000.0,CESP5
12929700000.0,1020620000.0,,,690276000.0,1791330000.0,1101060000.0,7144910000.0,CESP6
8451720000.0,2792060000.0,,,1083410000.0,5244940000.0,4161530000.0,519508000.0,CGAS3
8451720000.0,2792060000.0,,,1083410000.0,5244940000.0,4161530000.0,519508000.0,CGAS5
776108000.0,303448000.0,,,45856300.0,0.0,-45856300.0,530643000.0,CGRA3
776108000.0,303448000.0,,,45856300.0,0.0,-45856300.0,530643000.0,CGRA4
93422300000.0,76675500000.0,,,3255440000.0,9245630000.0,5990200000.0,11392600000.0,CIEL3
10812300000.0,3950820000.0,,,627337000.0,1529360000.0,902028000.0,2025410000.0,CLSC3
10812300000.0,3950820000.0,,,627337000.0,1529360000.0,902028000.0,2025410000.0,CLSC4
50062700000.0,10297600000.0,,,1558450000.0,15184300000.0,13625900000.0,17207300000.0,CMIG3
50062700000.0,10297600000.0,,,1558450000.0,15184300000.0,13625900000.0,17207300000.0,CMIG4
3323220000.0,1146940000.0,,,45432000.0,35039000.0,-10393000.0,991151000.0,CNTO3
8664710000.0,2159730000.0,,,168638000.0,2184430000.0,2015800000.0,3114050000.0,COCE3
8664710000.0,2159730000.0,,,168638000.0,2184430000.0,2015800000.0,3114050000.0,COCE5
32712800000.0,3916250000.0,,,420151000.0,11294200000.0,10874100000.0,16062500000.0,COGN3
44624300000.0,11068200000.0,,,3231730000.0,20351400000.0,17119700000.0,13649400000.0,CPFE3
36725200000.0,6748400000.0,,,2027920000.0,10938200000.0,8910250000.0,17451900000.0,CPLE3
36725200000.0,6748400000.0,,,2027920000.0,10938200000.0,8910250000.0,17451900000.0,CPLE6
11833600000.0,1381620000.0,,,912510000.0,5170780000.0,4258270000.0,4432400000.0,CPRE3
180937000.0,51744000.0,,,27023000.0,0.0,-27023000.0,158573000.0,CRDE3
44912000000.0,22155000000.0,,,5609000000.0,4484000000.0,-1125000000.0,13504000000.0,CRFB3
5968130000.0,,4624200000.0,4315920000.0,,,,942527000.0,CRIV3
5968130000.0,,4624200000.0,4315920000.0,,,,942527000.0,CRIV4
754297000.0,596031000.0,,,181920000.0,2620000.0,-179300000.0,582094000.0,CRPG3
754297000.0,596031000.0,,,181920000.0,2620000.0,-179300000.0,582094000.0,CRPG5
754297000.0,596031000.0,,,181920000.0,2620000.0,-179300000.0,582094000.0,CRPG6
